count	omeka_tag	facet	canonical_label	source
8	forced labour camp	theme_what	forced labor camp	default
7	Train	theme_what	train	default
5	Hollandsche Schouwburg	theme_what	hollandsche schouwburg	default
4	liberation experiences	theme_what	liberation experiences	default
3	Tranportation	theme_what	transportation	default
2	barak 28	theme_what	barak 28	default
2	commemoration	theme_what	commemoration	default
2	Den Bosch	theme_what	den bosch	default
2	trials	theme_what	trials	default
1	'antisocial'	theme_what	'antisocial'	default
1	anti-Semitism	theme_what	anti semitism	default
1	Austrian	theme_what	austrian	default
1	beatings. violence	theme_what	beatings. violence	default
1	creative	theme_what	creative	default
1	De Biezen	theme_what	de biezen	default
1	De Schaffelaer	theme_what	de schaffelaer	default
1	document provision	theme_what	document provision	default
1	Hoek van Holland refugee camp	theme_what	hoek van holland refugee camp	default
1	labour	theme_what	labor	default
1	Moerdijk	theme_what	moerdijk	default
1	Netherlands	theme_what	netherlands	default
1	Noordoostpolder Internment Camp	theme_what	noordoostpolder internment camp	default
1	Oranjehotel	theme_what	oranjehotel	default
1	orp	theme_what	orp	default
1	Scheveningen prison	theme_what	scheveningen prison	default
1	shaving	theme_what	shaving	default
1	Texel refugee camp	theme_what	texel refugee camp	default
1	torture	theme_what	torture	default
1	Volksdeutche	theme_what	volksdeutsche	default
1	Westerbork	theme_what	westerbork	default
1	work	theme_what	work	default
127	Camp Westerbork	place_where.transit_destinations	camp westerbork	pattern
127	photograph	medium_what	photograph	exact
118	Transit camp	time_when.time_period	transit camp	exact
116	from: Netherlands	person_who.city_village_country	from: netherlands	prefix
115	Dutch	person_who.mothertongue	dutch	exact
109	prisoner	person_who.reason_for_imprisonment	prisoner	exact
107	Anecdotes	theme_how.type_of_stores	anecdotes	exact
107	written testimony	medium_what	written testimony	exact
102	Jewish	person_who.reason_for_imprisonment	jewish	exact
96	biographical text	medium_what	biographical text	exact
94	Personal Stories	theme_how.type_of_stores	personal stories	exact
87	Deportation and Transport	theme_what	deportation and transport	exact
84	map	medium_what	map	exact
79	Male	person_who.gender_and_age	male	exact
